Company Name,Founded,Industry,Job Description,Job Function,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
Freeport McMoRan,-1,Mining,"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",Data Scientist,Data Scientist II,"Phoenix, AZ",4.0,$10+ billion (USD),$80K - $130K (Glassdoor est.),Mining & Metals,10000+ Employees,Company - Public
GEICO,1936,Insurance Carriers,"The Data Consumption team of Data Security & Infrastructure (DSI) is seeking a highly motivated Spark / Big Data Developer to start or continue an IT career on the Big Data Platform project. Teaming up with architects, scrum masters, leads, managers and directors, you will work in an Agile environment to make the data on the Big Data Platform accessible for the needs of the organization through Atomic Models and Analytical Data Stores. In this role, you will coordinate with a variety of IT departments to elicit and translate high level business requirements into detailed system requirements. You will participate in the entire software development lifecycle by writing and executing test plans, finding solutions to issues during development and after deployment. You should be intellectually curious, have a solutions-oriented attitude and enjoy learning new tools and techniques.
Basic Qualifications:
5+ years’ experience with Relational Database Systems and SQL",Data Engineer,Spark/Big Data Engineer,"Chevy Chase, MD",3.5,$10+ billion (USD),$61K - $110K (Glassdoor est.),Insurance,10000+ Employees,Subsidiary or Business Segment
Numerator,2004,Internet,"Numerator is a data and tech company bringing speed and scale to market research. Headquartered in Chicago, IL, Numerator has more than 2,000 employees worldwide. The company blends proprietary data with advanced technology to create unique insights for the market research industry that has been slow to change. The majority of Fortune 100 companies are Numerator clients.
Job Description
Numerator is looking for a Data Engineer who is a Big Data enthusiast and has a passion for working with an interesting robust set of data. This person will work in our platform to help ensure that our data quality is flawless. As a company, we have millions of new data points every day that come into our system. You will be working with a passionate team of engineers to solve challenging problems and ensure that we can deliver the best data to our customers, on-time. You will be using the latest cloud data warehouse technologies to build robust and reliable data pipelines.",Data Engineer,Data Engineer,"Chicago, IL",4.2,$100 to $500 million (USD),$78K - $145K (Glassdoor est.),Information Technology,1001 to 5000 Employees,Company - Private
"Alteryx, Inc.",1997,Enterprise Software & Network Solutions,"Alteryx is searching for a Staff Data Scientist in our Boston office.
We’re looking for problem solvers, innovators, and dreamers who are searching for anything but business as usual. Like us, you’re a high performer who’s an expert at your craft, constantly challenging the status quo. You value inclusivity and want to join a culture that empowers you to show up as your authentic self. You know that success hinges on commitment, that our differences make us stronger, and that the finish line is always sweeter when the whole team crosses together.
Alteryx Innovation Labs
The Innovation Labs office, Alteryx's first office presence in Boston, was started earlier this year by the acquisition of MIT-spinout Feature Labs . This rapidly growing team combines the excitement of being part of a fast-paced, innovative startup with the resources, market penetration, and wisdom of a data analytics market leader. Our goal is to turbo-charge machine learning and data science efforts on the Alteryx platform, and to enable anyone to solve dynamic problems. We are working on high-impact, high-visibility projects, and we’re looking for collaborative and knowledge-hungry teammates who want to join us as we work to democratize machine learning.",Data Scientist,Staff Data Scientist,"Boston, MA",3.6,$100 to $500 million (USD),$101K - $161K (Glassdoor est.),Information Technology,1001 to 5000 Employees,Company - Public
LGC Limited,1842,Biotech & Pharmaceuticals,"LGC, Biosearch Technologies is looking for a highly analytical and collaborative Senior Scientist to the R&D team at our our Middleton, WI, site. The Senior Scientist will be responsible for developing novel NGS tools and methodologies. The Senior Scientist will work collaboratively with internal and external partners, design and execute experimental plans, communicate results to colleagues and customers, manage and mentor junior scientists and contribute to LGC’s mission of Science for a Safer World.

LGC, Biosearch Technologies is a leader in providing reagents and technologies in the area of Next Generation Sequencing (NGS) for customers in agbio, biotech, pharma and academia. The company develops and markets various enzymes, oligos, beads and instruments for whole genome sequencing, amplicon sequencing, single cell sequencing and genotyping. LGC is a global leader in providing genotyping services with multiple USA sites.",Research Engineer,Senior R&D Scientist,"Middleton, WI",3.5,Unknown / Non-Applicable,$55K - $92K (Glassdoor est.),Biotech & Pharmaceuticals,1001 to 5000 Employees,Company - Private
Intelligent Automation,1987,"Health, Beauty, & Fitness","IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.",Data Scientist,Research Data Scientist,"Rockville, MD",3.7,$25 to $50 million (USD),$72K - $120K (Glassdoor est.),Consumer Services,51 to 200 Employees,Company - Private
"Continental Finance Company, LLC",2005,Lending,"Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Science Manager to support our Data Science team.
The Data Science Manager will be responsible for leading a team of scientists to develop and improve various models to drive business strategies. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. This position reports to Chief Data Scientist.
Essential Functions:",Data Scientist,Data Science Manager,"Wilmington, DE",4.2,Unknown / Non-Applicable,-1,Finance,51 to 200 Employees,Company - Private
Vanguard,1975,Investment Banking & Asset Management,"We are seeking a Senior Data Product Owner to develop a Center of Excellence focusing on vendor-sold consumer and household level data about investors.
Ex: Acxiom, Equifax-IXI, Powerlytics, Windfall, more
Phased transition, coordinating with stakeholders. Progress towards centralized ownership that serves Vanguard’s data and business community.
Serve as primary contact for vendors and internal stakeholders
Maximize value achieved from Vanguard’s investment in this data
Facilitate application of this data to marketing, servicing, retention, offer and product strategy",Product Owner,Senior Data Product Owner,"Malvern, PA",3.5,Unknown / Non-Applicable,-1,Finance,10000+ Employees,Company - Private
Systems Personnel,1996,Staffing & Outsourcing,"Data Scientist – Direct Hire – Buffalo, NY

Top rated Buffalo employer is seeking a Senior Data Scientist to lead the Predictive Analytics effort at a progressive company. Report directly into Senior Leadership and be part of the Strategic Management team. This is not an IT role, rather a Strategic-Level data role. We seek a data analytics expert to advance the process of predicting outcomes and behaviors of key stakeholders including customers. Provide insight to leaders in order to adapt the strategic planning process, sales, marketing and customer support efforts of the entity.

The successful individual will already have been through a successful corporate initiative achieving enterprise level, data aggregation from multiple sources, defining and cleansing complex data, importing and massaging data using statistical and reporting tools including MS Excel, R, SAS, Tableau etc. Must have experience successfully providing predictive outcomes and analysis beyond advanced reporting.

This is a leadership and business role, as much as it is a data role. This position provides guidance and support to Junior Data Scientists on the team. Leadership acumen and business communication skills are big parts of this job. If you are looking for a behind-the-scenes ‘data only’ position, this is not it. Instead, this company seeks an individual who will become the liaison to the senior leadership team, and who will interface directly with business users who own the data in order to help them make better decisions.

Challenge, growth, leadership advancement and a great company wait you! Apply today.


Data Scientist

Data Architect

Data Analytics

Predictive Analytics

Statistical Analyst

Data Analyst

IND123",Data Scientist,Data Scientist,"Orchard Park, NY",4.1,$5 to $10 million (USD),$48K - $85K (Glassdoor est.),Business Services,1 to 50 Employees,Company - Private
CPS Energy,1942,Energy,"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!

Grade: 14, 15, 16

Qualifications may warrant placement in a different job level.",Machine Learning Engineer,Machine Learning Engineer,"San Antonio, TX",3.7,$2 to $5 billion (USD),$64K - $116K (Glassdoor est.),"Oil, Gas, Energy & Utilities",1001 to 5000 Employees,Self-employed
Comcast,1963,Telecommunications Services,"Job Summary Responsible for a variety of programs involving business reengineering efforts that support our operations and customer experience. Works with a cross-functional team that encompasses representation from all divisions to understand current challenges. Works to define our current processes that support the Marketing, Provisioning, Customer Care and Technical Operations and to define the future state that will be enabled through technology. Has in-depth experience, knowledge and skills in own discipline. Usually determines own work priorities. Acts as a resource for colleagues with less experience.
Job Description
Core Responsibilities
Leads analysis and design of existing and new business processes that span multiple areas of the organization, including Customer Operations, Sales Operations, Marketing, Training, Finance and Legal.
Develops scalable processes to support and benefit the Company's architecture vision.
Deconstructs technical concepts and metrics to facilitate process development.
Helps to define success metrics for each new system or process and establishes a plan to track, monitor and measure the success of those metrics.
Collaborates with both the analytic organization and its technology partners to define complex data products.
Acts as a subject matter expert in one or more data subject areas such as advertising operations, traffic, billing, sales & order entry.
Identifies data collection and metric opportunities within business processes and works with cross functional teams to deliver continuous data monitoring on effectiveness of those processes. Presents results, recommendations and business insights to broader senior leadership team.
Performs basic research on root cause of data anomalies that are uncovered through normal course of analysis.
Participates in defining business intelligence requirements for projects and data requests.
Interacts closely with matrixed cross-functional teams (both field and corporate) in order to secure alignment.
Diagnoses, corrects and documents issues, risks and problems using Quality Assurance (QA) practices.
Consistent exercise of independent judgment and discretion in matters of significance.
Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary.
Other duties and responsibilities as assigned


Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Education
Bachelor's Degree
Relevant Work Experience
5-7 Years
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",Data Consultant,Data Consultant - Business Process,"Wayne, PA",3.9,$10+ billion (USD),$45K - $86K (Glassdoor est.),Telecommunications,10000+ Employees,Company - Public
Foresight Mental Health,2018,Health Care Services & Hospitals,"Welcome to Foresight Mental Health! We are a mental healthcare startup working to reinvent the mental healthcare space through the use of technology and data. Our approach to care is deeply holistic — our clinical team consists of psychiatrists, psychiatric NPs, neuropsychologists, therapists, and nutritionists. We function as a network of in-person outpatient services fused with remote telehealth offerings. We credential all of our providers with insurance panels in order to increase access and affordability to Foresight services.
Foresight is working to make mental healthcare data-driven, personalized, and technologically advanced. By leveraging our current technology stack (including genetic tests, next-generation clinical decision support software and analytics framework, wearables, and electronic patient outcome monitoring) combined with breakthrough treatments (like transcranial magnetic stimulation and Spravato), this enables us to deliver highly personalized, data-backed treatment plans to each of our members.",Data Engineer,Business Intelligence Data Engineer,"Austin, TX",4.6,Unknown / Non-Applicable,-1,Health Care,201 to 500 Employees,Company - Private
QinetiQ Inc.,1956,Aerospace & Defense,"Who Are We?
QinetiQ Inc. is a leading innovator with over 25 years of experience rapidly developing advanced C5ISR sensor solutions and is a renowned world leader in robotics and autonomy.
The combined QinetiQ U.S. business unit brings capabilities across the full lifecycle of technology development from applied research and development to rapid prototyping, testing, fielding, and sustainment. Our expertise with unmanned platforms, broad sensing modalities, and cross-domain interoperability ensures that we deliver integrated solutions for Warfighter dominance in all phases of combat.
We are a world-class team of professionals who deliver next generation technology and products in robotic and autonomous platforms and systems, ground systems, soldier systems, maritime systems, airborne sensors and payloads, processing and exploitation capabilities, and integrated C2 solutions. Much of our work contributes to innovative research in ﬁelds such as sensor science, signal processing, data fusion, artiﬁcial intelligence (AI), machine learning (ML), and augmented reality (AR).",Data Scientist,Data Scientist,"Lorton, VA",2.5,$50 to $100 million (USD),$71K - $119K (Glassdoor est.),Aerospace & Defense,501 to 1000 Employees,Subsidiary or Business Segment
FedEx Express,1971,Express Delivery Services,"Job Requisition Number: RC327849
Category: Aviation
Job Family: FXE-US: Flight Operations
Time Type: Full Time
Locations:
Memphis, Tennessee

To project manage and oversee the conceptualization, planning, design, quality assurance, implementation and support of Air Operations data solutions. Provide service to multiple internal customers, such as: Air Operations, Air Safety, Quality Assurance, Aircraft Engineering, Aircraft Maintenance, Aircraft Materiel and Air Operations Application Support. Set strategy that leads to the transformation of Air Operations processes and tools to enable safety, operational and business excellence.



Please click below to learn more about your rights as an Applicant under Federal Employment Laws:",Data Scientist,AOD Data Science Advisor,"Memphis, TN",3.9,$10+ billion (USD),$69K - $120K (Glassdoor est.),Transportation & Logistics,10000+ Employees,Subsidiary or Business Segment
CNA Insurance,1897,Insurance Carriers,"Sr. Data Scientist -INF0001YE
Description

Analytics Sr. Consultant – Sr. Data Scientist – R&D
Description
Headquartered in the heart of downtown Chicago, CNA is a leading commercial and specialty insurer, offering a diverse range of insurance products including Workers Compensation, Property, General Liability, Professional Liability, Cyber Insurance, Surety, and Warranty. We are one of the world leaders in underwriting non-medical professionals, from lawyers and accountants to architects and management consultants.
What CNA offers",Data Scientist,Sr. Data Scientist,"Chicago, IL",3.6,$10+ billion (USD),$83K - $138K (Glassdoor est.),Insurance,1001 to 5000 Employees,Company - Public
The Lauridsen Group,1969,Miscellaneous Manufacturing,"New product development of broths, stocks, flavors, animal fats and functional collagen products; lead and conduct pilot plant and production plant trials; support operations with technical expertise to improve quality / reduce cost of existing products; collaborate and provide technical support to internal cross functional groups and external customers; propose and identify new technological opportunities.
JOB QUALIFICATIONS:
Education and Experience:
Bachelor of Science degree plus a minimum of 4 years of experience
Master of Science plus 2 years of experience",Research Scientist,Research Scientist I - Essentia,"Ankeny, IA",2.8,Unknown / Non-Applicable,$34K - $75K (Glassdoor est.),Manufacturing,501 to 1000 Employees,Company - Public
TaylorMade Golf,1979,Consumer Products Manufacturing,"Are you passionate about using data, finding insights, and trying to explain why things are what they are? If so, read on.

As part of the advanced analytics team, the Data Scientist will be a key player on an innovative team that develops and provides actionable insights across the organization. S/he will help to evolve existing forecasting methodologies across different parts of the organization and develop sophisticated models, using machine learning algorithms and advanced analytics. This role will be responsible for developing long and short-term product demand forecasts in multiple markets and across multiple channels to help drive down supply chain costs (freight, inventory levels). The successful individual will conduct multiple tasks and projects simultaneously, maintain strong relationships with stakeholders, and own deliverables end to end.

Essential Functions and Key Responsibilities:
TaylorMade Golf Company is an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, religious creed, color, national origin or ancestry, physical or mental disability, medical condition, genetic information, marital status, sex, pregnancy, gender, gender identity, gender expression, age, sexual orientation, military and veteran status or any other basis protected by federal, state or local law, ordinance, or regulation.",Data Scientist,Data Scientist,"Carlsbad, CA",4.3,$500 million to $1 billion (USD),$125K - $154K (Glassdoor est.),Manufacturing,1001 to 5000 Employees,Company - Private
